City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Phan Thiet,VN,10.9333,108.1,78.44,77,95,4.03,overcast clouds
308,Pinhao,BR,-25.6956,-51.6597,58.75,90,70,8.19,broken clouds
309,Lisakovsk,KZ,52.5369,62.4936,35.15,88,100,9.53,overcast clouds
310,Alofi,NU,-19.0595,-169.9187,84.09,79,35,11.5,scattered clouds
311,Gizo,SB,-8.103,156.8419,83.53,72,92,7.58,light rain
312,Erzin,TR,36.9559,36.2,62.28,54,4,3.09,clear sky
313,Kayes,ML,14.0,-11.0,91.49,11,37,3.42,scattered clouds
314,Dingle,PH,10.9995,122.6711,79.74,77,98,10.47,overcast clouds
315,Tiznit,MA,29.5833,-9.5,57.97,84,43,2.62,scattered clouds
316,Greenville,US,35.6127,-77.3663,60.96,64,0,6.91,clear sky
317,Shieli,KZ,44.1667,66.75,54.52,34,25,5.86,scattered clouds
318,Pacific Grove,US,36.6177,-121.9166,67.33,75,0,10.36,clear sky
319,Fairbanks,US,64.8378,-147.7164,23.02,71,100,4.61,light snow
320,Alyangula,AU,-13.8483,136.4192,87.67,58,40,6.91,scattered clouds
321,Fortuna,US,40.5982,-124.1573,59.86,71,0,17.27,clear sky
322,Salmas,IR,38.1973,44.7653,52.02,29,11,4.21,few clouds
323,Hamilton,US,39.1834,-84.5333,50.76,56,100,8.05,overcast clouds
324,Taltal,CL,-25.4,-70.4833,64.15,75,21,5.1,few clouds
325,Sur,OM,22.5667,59.5289,83.46,35,68,9.28,broken clouds
326,Anadyr,RU,64.75,177.4833,14.5,78,0,6.71,clear sky
327,Muros,ES,42.7762,-9.0603,47.08,67,3,17.31,clear sky
328,Belmonte,BR,-15.8631,-38.8828,76.53,84,5,5.39,clear sky
329,Pingliang,CN,35.5392,106.6861,44.62,52,0,3.91,clear sky
330,Basco,PH,20.4487,121.9702,74.89,79,100,31.05,overcast clouds
331,Novita,CO,4.9551,-76.6053,75.99,97,91,2.86,overcast clouds
332,Nanortalik,GL,60.1432,-45.2371,35.96,93,100,8.84,overcast clouds
333,Kaitangata,NZ,-46.2817,169.8464,63.1,55,50,7.76,scattered clouds
334,Atar,MR,20.5169,-13.0499,74.01,18,0,5.3,clear sky
335,Cayenne,GF,4.9333,-52.3333,80.1,1,75,5.75,broken clouds
336,Quatre Cocos,MU,-20.2078,57.7625,76.08,88,100,12.33,moderate rain
337,Sheridan,US,44.8333,-106.9173,64.78,17,20,4.61,few clouds
338,Mount Isa,AU,-20.7333,139.5,87.57,18,4,10.36,clear sky
339,Imeni Poliny Osipenko,RU,52.4201,136.4853,30.13,87,86,10.67,overcast clouds
340,Pisco,PE,-13.7,-76.2167,66.25,82,0,12.66,clear sky
341,Oshakati,NA,-17.7833,15.6833,68.02,84,91,6.58,overcast clouds
342,Nuqui,CO,5.7125,-77.2708,78.6,85,48,2.48,scattered clouds
343,Khandbari,NP,27.3747,87.2039,65.68,88,38,0.56,scattered clouds
344,Nome,US,64.5011,-165.4064,19.47,49,0,12.66,clear sky
